Name,Zone,Price,Surface,Zone_num
"Loft viale Ortles 54/A, Corvetto, Milano",corvetto-rogoredo,1180,55.0,1
"Bilocale via Carlo Marochetti 10, Corvetto, Milano",corvetto-rogoredo,1000,76.0,1
"Bilocale via Bessarione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Gargano 17, Corvetto, Milano",corvetto-rogoredo,1050,50.0,1
"Bilocale via San Dionigi 11, Corvetto, Milano",corvetto-rogoredo,900,68.0,1
"Trilocale viale Omero 5, Corvetto, Milano",corvetto-rogoredo,1150,80.0,1
"Bilocale via Bessarione 46, Corvetto, Milano",corvetto-rogoredo,950,50.0,1
"Bilocale via Arcivescovo Romilli 6, Corvetto, Milano",corvetto-rogoredo,1200,60.0,1
"Bilocale viale Ortles 54/A, Corvetto, Milano",corvetto-rogoredo,1180,55.0,1
"Bilocale via San Dionigi, 11, Corvetto, Milano",corvetto-rogoredo,900,48.0,1
"Bilocale via dei Cinquecento 5, Corvetto, Milano",corvetto-rogoredo,1000,65.0,1
"Bilocale via dei Cinquecento 5, Corvetto, Milano",corvetto-rogoredo,1000,65.0,1
"Mansarda via Passo Pordoi 9, Corvetto, Milano",corvetto-rogoredo,1100,90.0,1
"Trilocale viale Lucania 9, Corvetto, Milano",corvetto-rogoredo,1050,66.0,1
"Loft viale Ortles 54/a, Corvetto, Milano",corvetto-rogoredo,1050,70.0,1
"Bilocale viale Lucania 21, Corvetto, Milano",corvetto-rogoredo,900,75.0,1
"Trilocale viale Omero 19, Corvetto, Milano",corvetto-rogoredo,1200,75.0,1
"Bilocale viale Omero, Corvetto, Milano",corvetto-rogoredo,1100,72.0,1
"Trilocale via Marco d'Agrate 19, Corvetto, Milano",corvetto-rogoredo,1400,70.0,1
"Bilocale via Gargano 17, Corvetto, Milano",corvetto-rogoredo,1100,52.0,1
"Bilocale via Lacaita 2, Rogoredo, Milano",corvetto-rogoredo,1200,50.0,1
"Trilocale via Marco d'Agrate 29, Corvetto, Milano",corvetto-rogoredo,2000,94.0,1
"Bilocale via Lacaita 2, Rogoredo, Milano",corvetto-rogoredo,1200,50.0,1
"Bilocale via Baldassare Longhena, Corvetto, Milano",corvetto-rogoredo,850,60.0,1
"Trilocale via Baldassare Longhena 7, Corvetto, Milano",corvetto-rogoredo,1200,100.0,1
"Trilocale via Carlo Marochetti 21, Corvetto, Milano",corvetto-rogoredo,1100,95.0,1
"Quadrilocale via Gamboloita, Corvetto, Milano",corvetto-rogoredo,1185,100.0,1
"Bilocale via Marco D'Agrate, Corvetto, Milano",corvetto-rogoredo,1000,50.0,1
"Monolocale via Marco d'Agrate 23, Corvetto, Milano",corvetto-rogoredo,850,40.0,1
"Bilocale viale Ortles 54/a, Corvetto, Milano",corvetto-rogoredo,1100,59.0,1
"Bilocale via Gardone 6, Corvetto, Milano",corvetto-rogoredo,1050,60.0,1
"Loft viale Ortles 54/a, Corvetto, Milano",corvetto-rogoredo,1050,59.0,1
"Bilocale piazzale Luigi Emanuele Corvetto 1, Corvetto, Milano",corvetto-rogoredo,1050,55.0,1
"Trilocale via Comacchio, Corvetto, Milano",corvetto-rogoredo,1600,85.0,1
"Bilocale piazza angilberto , 8, Corvetto, Milano",corvetto-rogoredo,1100,60.0,1
"Quadrilocale via Comacchio, Corvetto, Milano",corvetto-rogoredo,2300,110.0,1
"Bilocale via Polesine 5, Corvetto, Milano",corvetto-rogoredo,1100,40.0,1
"Trilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,1400,100.0,1
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Sile, Corvetto, Milano",corvetto-rogoredo,1200,45.0,1
"Bilocale via Marco d'Agrate, Corvetto, Milano",corvetto-rogoredo,1050,58.0,1
"Monolocale viale Bacchiglione,6, Corvetto, Milano",corvetto-rogoredo,1300,40.0,1
"Bilocale via Ravenna,48, Corvetto, Milano",corvetto-rogoredo,1200,62.0,1
"Bilocale piazza Angilberto II,1, Corvetto, Milano",corvetto-rogoredo,1350,50.0,1
"Bilocale via Carlo Boncompagni,1, Corvetto, Milano",corvetto-rogoredo,1590,50.0,1
"Monolocale via Salo, Corvetto, Milano",corvetto-rogoredo,600,30.0,1
"Monolocale via Marco d'Agrate 21, Corvetto, Milano",corvetto-rogoredo,800,30.0,1
"Trilocale ottimo stato, settimo piano, Corvetto, Milano",corvetto-rogoredo,1300,80.0,1
"Trilocale via Polesine, Corvetto, Milano",corvetto-rogoredo,1090,80.0,1
"Bilocale via Bessarione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Monolocale via San Dionigi, Corvetto, Milano",corvetto-rogoredo,850,50.0,1
"Bilocale via Bessarione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Bessarione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Sile, Corvetto, Milano",corvetto-rogoredo,1200,45.0,1
"Bilocale via Carlo Boncompagni 47, Bologna - Sulmona, Milano",corvetto-rogoredo,900,55.0,1
"Quadrilocale via Arcivescovo Romilli, Corvetto, Milano",corvetto-rogoredo,2100,60.0,1
"Monolocale via San Dionigi, Corvetto, Milano",corvetto-rogoredo,850,50.0,1
"Quadrilocale via Comacchio, Corvetto, Milano",corvetto-rogoredo,2200,110.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Bilocale via Bessarione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Trilocale via Nicolo Barabino,3, Corvetto, Milano",corvetto-rogoredo,1700,60.0,1
"Quadrilocale viale Enrico Martini,9, Corvetto, Milano",corvetto-rogoredo,2300,89.0,1
"Bilocale via Riva di Trento, Corvetto, Milano",corvetto-rogoredo,850,45.0,1
"Bilocale viale Bacchiglione, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Monolocale via Marco d'Agrate, Corvetto, Milano",corvetto-rogoredo,650,30.0,1
"Monolocale via Bessarione 46, Corvetto, Milano",corvetto-rogoredo,700,23.0,1
"Monolocale via Marco d'Agrate 21, Corvetto, Milano",corvetto-rogoredo,950,35.0,1
"Quadrilocale piazza Angilberto II 2, Corvetto, Milano",corvetto-rogoredo,1800,120.0,1
"Monolocale viale Enrico Martini 9, Corvetto, Milano",corvetto-rogoredo,830,28.0,1
"Monolocale corso Lodi 101, Corvetto, Milano",corvetto-rogoredo,950,37.0,1
"Trilocale corso Lodi 132, Corvetto, Milano",corvetto-rogoredo,1750,95.0,1
"Bilocale viale Bacchiglione 8, Corvetto, Milano",corvetto-rogoredo,800,45.0,1
"Monolocale via Mincio 12, Corvetto, Milano",corvetto-rogoredo,900,45.0,1
"Bilocale via Gardone, Corvetto, Milano",corvetto-rogoredo,1100,55.0,1
"Appartamento viale Bacchiglione 14, Corvetto, Milano",corvetto-rogoredo,1350,70.0,1
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1265,15.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1465,19.0,2
"Monolocale via Frigia,1, Precotto, Milano",precotto-turro,1555,22.0,2
"Bilocale piazza Davide Sesia, Turro, Milano",precotto-turro,1150,57.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale via della Torre, Turro, Milano",precotto-turro,1000,50.0,2
"Bilocale via Esiodo, 1, Precotto, Milano",precotto-turro,900,50.0,2
"Bilocale via boiardo 8, Turro, Milano",precotto-turro,980,40.0,2
"Bilocale viale Monza, Turro, Milano",precotto-turro,800,60.0,2
"Bilocale via Enpedocle, Villa San Giovanni, Milano",precotto-turro,1050,65.0,2
"Bilocale ottimo stato, primo piano, Gorla, Milano",precotto-turro,900,50.0,2
"Bilocale via Frigia 5, Precotto, Milano",precotto-turro,1100,50.0,2
"Bilocale via Columella 8, Precotto, Milano",precotto-turro,1100,75.0,2
"Monolocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,500,20.0,2
"Bilocale via Privata Giancarlo Puecher, 7, 20127 Milano Italia, Turro, Milano",precotto-turro,1350,65.0,2
"Bilocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,700,40.0,2
"Bilocale via Giovanni Livraghi 18, Villa San Giovanni, Milano",precotto-turro,1050,70.0,2
"Bilocale via Ernesto Breda 122, Villa San Giovanni, Milano",precotto-turro,700,40.0,2
"Bilocale via Privata della Torre, Turro, Milano",precotto-turro,880,40.0,2
"Bilocale via della Torre 3, Turro, Milano",precotto-turro,1000,40.0,2
"Bilocale via Esiodo 2, Precotto, Milano",precotto-turro,1050,48.0,2
"Bilocale via della Torre 9, Turro, Milano",precotto-turro,1200,63.0,2
"Quadrilocale via Empedocle 1, Villa San Giovanni, Milano",precotto-turro,1800,105.0,2
