city,year,party,tot_invest,administration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest
,,,,,,,,,,,,,,,
agrigento,2005,FI,"INVESTIMENTI 3,3 milioni ",INVESTIMENTI 332707 ,INVESTIMENTI 0 ,"INVESTIMENTI 1,2 milioni ",INVESTIMENTI 956359 ,INVESTIMENTI 143446 ,INVESTIMENTI 0 ,INVESTIMENTI 94835 ,INVESTIMENTI 0 ,INVESTIMENTI 12000 ,INVESTIMENTI 493806 ,INVESTIMENTI 23250 ,INVESTIMENTI 67160 
,,,,,,,,,,,,,,,
agrigento,2006,FI,"INVESTIMENTI 3,3 milioni ",INVESTIMENTI 254621 ,INVESTIMENTI 0 ,"INVESTIMENTI 1,5 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 161958 ,INVESTIMENTI 50000 ,INVESTIMENTI 11809 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 2357 ,INVESTIMENTI 14187 ,INVESTIMENTI 108825 
,,,,,,,,,,,,,,,
agrigento,2007,more_party,"INVESTIMENTI 3,9 milioni ",INVESTIMENTI 398506 ,INVESTIMENTI 0 ,"INVESTIMENTI 1,8 milioni ","INVESTIMENTI 1,5 milioni ",INVESTIMENTI 78250 ,INVESTIMENTI 0 ,INVESTIMENTI 1117 ,INVESTIMENTI 0 ,INVESTIMENTI 2386 ,INVESTIMENTI 0 ,INVESTIMENTI 49034 ,INVESTIMENTI 18576 
,,,,,,,,,,,,,,,
agrigento,2008,UDEUR,"INVESTIMENTI 13,9 milioni ",INVESTIMENTI 281280 ,INVESTIMENTI 0 ,"INVESTIMENTI 12,4 milioni ",INVESTIMENTI 895284 ,INVESTIMENTI 113956 ,INVESTIMENTI 62697 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 1040 ,INVESTIMENTI 1252 ,INVESTIMENTI 59652 ,INVESTIMENTI 44616 
,,,,,,,,,,,,,,,
agrigento,2009,UDEUR,"INVESTIMENTI 4,8 milioni ",INVESTIMENTI 446432 ,INVESTIMENTI 59105 ,"INVESTIMENTI 1,7 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 8410 ,INVESTIMENTI 132342 ,INVESTIMENTI 0 ,INVESTIMENTI 1350 ,INVESTIMENTI 108 ,INVESTIMENTI 65199 ,INVESTIMENTI 16412 
,,,,,,,,,,,,,,,
agrigento,2010,UDEUR,"INVESTIMENTI 6,0 milioni ",INVESTIMENTI 406515 ,INVESTIMENTI 65977 ,"INVESTIMENTI 3,1 milioni ","INVESTIMENTI 1,6 milioni ",INVESTIMENTI 672543 ,INVESTIMENTI 0 ,INVESTIMENTI 99141 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 22080 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
agrigento,2011,UDEUR,"INVESTIMENTI 5,8 milioni ",INVESTIMENTI 300823 ,INVESTIMENTI 91171 ,"INVESTIMENTI 4,1 milioni ",INVESTIMENTI 854923 ,INVESTIMENTI 328086 ,INVESTIMENTI 660 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 54294 ,INVESTIMENTI 36518 
,,,,,,,,,,,,,,,
agrigento,2012,more_party,"INVESTIMENTI 5,0 milioni ",INVESTIMENTI 771436 ,INVESTIMENTI 710113 ,"INVESTIMENTI 2,3 milioni ",INVESTIMENTI 784884 ,INVESTIMENTI 226009 ,INVESTIMENTI 8539 ,INVESTIMENTI 50386 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 90972 ,INVESTIMENTI 23482 
,,,,,,,,,,,,,,,
agrigento,2013,UDC,"INVESTIMENTI 3,8 milioni ",INVESTIMENTI 452679 ,INVESTIMENTI 3591 ,"INVESTIMENTI 2,0 milioni ",INVESTIMENTI 908444 ,INVESTIMENTI 118728 ,INVESTIMENTI 1044 ,INVESTIMENTI 182590 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 96888 ,INVESTIMENTI 60000 
,,,,,,,,,,,,,,,
agrigento,2014,UDC,"INVESTIMENTI 2,9 milioni ",INVESTIMENTI 512955 ,INVESTIMENTI 2000 ,"INVESTIMENTI 1,2 milioni ",INVESTIMENTI 895451 ,INVESTIMENTI 152740 ,INVESTIMENTI 0 ,INVESTIMENTI 17648 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 102110 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2005,DS,"INVESTIMENTI 41,9 milioni ","INVESTIMENTI 22,4 milioni ","INVESTIMENTI 2,6 milioni ","INVESTIMENTI 5,7 milioni ","INVESTIMENTI 6,6 milioni ","INVESTIMENTI 1,3 milioni ","INVESTIMENTI 2,3 milioni ",INVESTIMENTI 709098 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 80499 ,INVESTIMENTI 202337 
,,,,,,,,,,,,,,,
alessandria,2006,DS,"INVESTIMENTI 32,5 milioni ","INVESTIMENTI 15,2 milioni ","INVESTIMENTI 2,8 milioni ","INVESTIMENTI 2,4 milioni ","INVESTIMENTI 7,2 milioni ",INVESTIMENTI 832611 ,"INVESTIMENTI 3,6 milioni ",INVESTIMENTI 118403 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 341349 ,INVESTIMENTI 44580 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2007,more_party,"INVESTIMENTI 27,0 milioni ","INVESTIMENTI 9,1 milioni ","INVESTIMENTI 2,1 milioni ","INVESTIMENTI 1,7 milioni ","INVESTIMENTI 9,3 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 2,6 milioni ",INVESTIMENTI 792582 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 258100 ,INVESTIMENTI 30657 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2008,PDL,"INVESTIMENTI 20,6 milioni ","INVESTIMENTI 5,8 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 3,7 milioni ","INVESTIMENTI 6,1 milioni ","INVESTIMENTI 2,5 milioni ",INVESTIMENTI 929757 ,INVESTIMENTI 310528 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 1600 ,INVESTIMENTI 95886 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2009,PDL,"INVESTIMENTI 14,1 milioni ","INVESTIMENTI 5,9 milioni ","INVESTIMENTI 1,7 milioni ","INVESTIMENTI 1,4 milioni ","INVESTIMENTI 3,4 milioni ","INVESTIMENTI 1,1 milioni ",INVESTIMENTI 192452 ,INVESTIMENTI 303989 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 198400 ,INVESTIMENTI 531 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2010,PDL,"INVESTIMENTI 23,5 milioni ","INVESTIMENTI 6,7 milioni ","INVESTIMENTI 2,7 milioni ","INVESTIMENTI 2,8 milioni ","INVESTIMENTI 7,2 milioni ","INVESTIMENTI 2,7 milioni ",INVESTIMENTI 418845 ,INVESTIMENTI 886398 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 135351 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2011,PDL,"INVESTIMENTI 61,4 milioni ","INVESTIMENTI 49,3 milioni ","INVESTIMENTI 1,1 milioni ","INVESTIMENTI 2,2 milioni ","INVESTIMENTI 6,9 milioni ","INVESTIMENTI 1,4 milioni ",INVESTIMENTI 108131 ,INVESTIMENTI 261137 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 67705 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2012,more_party,"INVESTIMENTI 26,6 milioni ","INVESTIMENTI 17,2 milioni ",INVESTIMENTI 750904 ,"INVESTIMENTI 6,1 milioni ","INVESTIMENTI 1,6 milioni ",INVESTIMENTI 612147 ,INVESTIMENTI 86866 ,INVESTIMENTI 99927 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 1939 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2013,PD,"INVESTIMENTI 7,2 milioni ",INVESTIMENTI 233825 ,INVESTIMENTI 466565 ,INVESTIMENTI 229212 ,"INVESTIMENTI 5,0 milioni ","INVESTIMENTI 1,2 milioni ",INVESTIMENTI 57367 ,INVESTIMENTI 24894 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 3225 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
alessandria,2014,PD,"INVESTIMENTI 61,7 milioni ","INVESTIMENTI 52,3 milioni ",INVESTIMENTI 408179 ,INVESTIMENTI 972111 ,"INVESTIMENTI 7,8 milioni ",INVESTIMENTI 168522 ,INVESTIMENTI 34768 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 0 ,INVESTIMENTI 430 ,INVESTIMENTI 0 
,,,,,,,,,,,,,,,
ancona,2005,DS,"INVESTIMENTI 83,8 milioni ","INVESTIMENTI 42,6 milioni ","INVESTIMENTI 1,0 milioni ","INVESTIMENTI 14,9 milioni ","INVESTIMENTI 14,3 milioni ","INVESTIMENTI 5,3 milioni ",INVESTIMENTI 696046 ,"INVESTIMENTI 3,2 milioni ",INVESTIMENTI 5363 ,INVESTIMENTI 362761 ,INVESTIMENTI 542129 ,INVESTIMENTI 323021 ,INVESTIMENTI 496963 
,,,,,,,,,,,,,,,
ancona,2006,more_party,"INVESTIMENTI 44,2 milioni ","INVESTIMENTI 9,2 milioni ","INVESTIMENTI 1,0 milioni ","INVESTIMENTI 11,7 milioni ","INVESTIMENTI 10,5 milioni ","INVESTIMENTI 3,3 milioni ","INVESTIMENTI 3,8 milioni ","INVESTIMENTI 2,6 milioni ",INVESTIMENTI 65984 ,INVESTIMENTI 380133 ,INVESTIMENTI 895729 ,INVESTIMENTI 54074 ,INVESTIMENTI 785722 
,,,,,,,,,,,,,,,
ancona,2007,DS,"INVESTIMENTI 46,2 milioni ","INVESTIMENTI 8,1 milioni ","INVESTIMENTI 1,2 milioni ","INVESTIMENTI 16,8 milioni ","INVESTIMENTI 7,7 milioni ","INVESTIMENTI 4,8 milioni ","INVESTIMENTI 3,5 milioni ","INVESTIMENTI 2,5 milioni ",INVESTIMENTI 0 ,INVESTIMENTI 53326 ,INVESTIMENTI 473182 ,INVESTIMENTI 349372 ,INVESTIMENTI 798127 
,,,,,,,,,,,,,,,
