Name,Zone,Price,Surface
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,121
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,54
"Appartamento all'asta corso Lodi 110, Milano",corvetto-rogoredo,261844,119
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,261843,120
"Appartamento all'asta via Nicolo' Barabino, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,60
"Appartamento all'asta via Busseto 2, Milano",corvetto-rogoredo,48000,45
"Appartamento all'asta via Rogoredo 113, Milano",corvetto-rogoredo,28500,57
"Appartamento all'asta corso Lodi 110/A, Milano",corvetto-rogoredo,280000,80
"Appartamento all'asta via Ravenna 24, Milano",corvetto-rogoredo,168750,91
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,124
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,60
"Appartamento all'asta via Rogoredo 113, Milano",corvetto-rogoredo,28500,57
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,60
"Appartamento all'asta via Ravenna , 24, Milano",corvetto-rogoredo,225000,88
"Appartamento all'asta viale Omero 17, Milano",corvetto-rogoredo,62400,48
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta corso Lodi 110/a, Milano",corvetto-rogoredo,280000,79
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,126
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta viale Omero 17, Milano",corvetto-rogoredo,96200,74
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,261843,119
"Appartamento all'asta viale Ortles 54A, Milano",corvetto-rogoredo,78000,115
"Appartamento all'asta corso Lodi 110, Milano",corvetto-rogoredo,280000,80
"Appartamento all'asta corso Lodi   110/A, Milano",corvetto-rogoredo,280000,60
"Appartamento all'asta corso Lodi 110/A, Milano",corvetto-rogoredo,280000,79
"Appartamento all'asta viale Omero 19, Milano",corvetto-rogoredo,64904,56
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,106600,82
"Appartamento all'asta corso Lodi , 110, Milano",corvetto-rogoredo,280000,79
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta corso Lodi, 110, Milano",corvetto-rogoredo,280000,80
"Appartamento all'asta corso Lodi , 110/a, Milano",corvetto-rogoredo,280000,80
"Appartamento all'asta via Marco d'Agrate , 10, Milano",corvetto-rogoredo,260000,100
"Appartamento all'asta corso Lodi, 110/a, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,349125,126
"Appartamento all'asta corso Lodi , 111, Milano",corvetto-rogoredo,261843,120
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,120
"Appartamento all'asta corso Lodi 110A, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta via barabino, 3, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,349125,119
"Appartamento all'asta corso lodi, 111, Milano",corvetto-rogoredo,349125,120
"Appartamento all'asta corso Lodi , 110, Milano",corvetto-rogoredo,280000,80
"Appartamento all'asta via Nicolo Barabino, 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta via Nicolo' Barabino, 3, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta via Ravenna 2, Milano",corvetto-rogoredo,168750,91
"Appartamento all'asta corso Lodi, 110/A, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta via Nicolo Barabino , 3, Milano",corvetto-rogoredo,97500,54
"Appartamento all'asta corso Lodi , 111, Milano",corvetto-rogoredo,261843,122
"Appartamento all'asta corso Lodi , 111, Milano",corvetto-rogoredo,349125,120
"Appartamento all'asta viale Ortles  ,  54/A, Milano",corvetto-rogoredo,78000,107
"Appartamento all'asta corso Lodi, 110/A, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta via Nicolo Barabino , 3, Milano",corvetto-rogoredo,97500,64
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,120
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta corso Lodi 111, Milano",corvetto-rogoredo,261843,132
"Appartamento all'asta corso Lodi , 110, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,349125,132
"Appartamento all'asta via Nicolo Barabino 3, Milano",corvetto-rogoredo,97500,54
"Appartamento all'asta corso Lodi   110/A, Milano",corvetto-rogoredo,280000,68
"Appartamento all'asta via Barabino, 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta corso Lodi , 111, Milano",corvetto-rogoredo,349125,122
"Appartamento all'asta corso Lodi, 110, Milano",corvetto-rogoredo,280000,110
"Appartamento all'asta via Nicolo Barabino , 3, Milano",corvetto-rogoredo,97500,59
"Appartamento all'asta corso Lodi 110, Milano",corvetto-rogoredo,280000,81
"Appartamento all'asta via Nicolo Barabino, Milano",corvetto-rogoredo,97500,60
"Appartamento all'asta corso Lodi, Milano",corvetto-rogoredo,261843,130
"Appartamento all'asta corso Lodi, 111, Milano",corvetto-rogoredo,349125,132
"Appartamento all'asta viale Ortles 54, Milano",corvetto-rogoredo,78000,102
