year,amministration_invest,social_invest,environment_invest,transport_invest,education_invest,culture_invest,sport_invest,tourism_invest,economic_invest,sevice_invest,police_invest,justice_invest,orientation
2005,10.08,0.0,36.36,28.98,4.35,0.0,2.87,0.0,0.36,14.96,0.7,2.04,Right
2006,7.72,0.0,45.45,36.36,4.91,1.52,0.36,0.0,0.0,0.07,0.43,3.3,Right
2005,53.46,6.21,13.6,15.75,3.1,5.49,1.69,0.0,0.0,0.0,0.19,0.48,Left
2006,46.77,8.62,7.38,22.15,2.56,11.08,0.36,0.0,0.0,1.05,0.14,0.0,Left
2008,28.16,5.34,17.96,29.61,12.14,4.51,1.51,0.0,0.0,0.01,0.47,0.0,Right
2009,41.84,12.06,9.93,24.11,7.8,1.36,2.16,0.0,0.0,1.41,0.0,0.0,Right
2010,28.51,11.49,11.91,30.64,11.49,1.78,3.77,0.0,0.0,0.0,0.58,0.0,Right
2011,80.29,1.79,3.58,11.24,2.28,0.18,0.43,0.0,0.0,0.0,0.11,0.0,Right
2013,3.25,6.48,3.18,69.44,16.67,0.8,0.35,0.0,0.0,0.0,0.04,0.0,Left
2014,84.76,0.66,1.58,12.64,0.27,0.06,0.0,0.0,0.0,0.0,0.0,0.0,Left
2005,50.84,1.19,17.78,17.06,6.32,0.83,3.82,0.01,0.43,0.65,0.39,0.59,Left
2007,17.53,2.6,36.36,16.67,10.39,7.58,5.41,0.0,0.12,1.02,0.76,1.73,Left
2008,14.58,5.06,34.82,16.96,5.95,10.71,9.23,0.0,0.33,0.07,0.17,1.81,Left
2010,8.46,9.95,45.27,10.45,14.43,5.47,3.89,0.0,1.02,0.0,0.45,0.46,Left
2011,6.22,6.74,44.04,17.1,13.47,11.4,0.9,0.0,0.23,0.0,0.02,0.2,Left
2012,5.33,7.83,40.36,21.08,12.65,8.43,3.74,0.0,1.03,0.0,0.0,0.14,Left
2014,4.31,12.61,27.03,39.64,11.71,1.19,3.2,0.0,0.03,0.0,0.0,0.0,Left
2005,12.77,2.71,6.38,22.7,13.83,0.91,12.41,0.0,5.67,0.0,0.03,22.7,Right
2007,17.36,9.92,26.45,24.79,9.09,1.94,4.7,0.21,0.47,0.0,2.25,3.1,Left
2008,21.09,8.84,10.2,33.33,6.27,0.84,14.97,0.17,0.06,0.0,1.06,2.76,Left
2009,28.1,6.55,20.66,30.58,2.85,1.0,4.93,0.0,2.46,0.0,0.43,2.19,Left
2010,32.26,1.63,9.68,46.77,5.51,0.03,2.07,0.25,0.93,0.0,0.0,0.33,Left
2012,18.99,5.95,15.19,43.04,2.95,6.33,2.16,0.61,4.17,0.0,0.29,0.22,Left
2013,20.89,3.37,19.62,13.29,0.28,10.76,13.92,3.92,9.49,0.0,0.37,3.02,Left
2014,21.78,0.48,31.68,11.88,3.55,8.05,1.02,9.07,9.9,0.0,0.34,2.21,Left
2005,55.43,5.56,14.86,15.43,0.46,0.25,2.93,4.23,0.03,0.0,0.48,0.17,Right
2006,72.31,4.55,14.05,4.96,0.42,0.13,2.5,1.01,0.01,0.03,0.18,0.0,Right
2007,42.76,10.53,13.82,14.47,2.38,6.44,8.55,1.03,0.0,0.06,0.26,0.0,Right
2008,45.69,8.49,12.07,20.69,3.65,3.88,4.63,1.19,0.02,0.22,0.19,0.0,Right
2010,54.31,12.93,12.07,12.93,2.34,4.06,0.64,0.21,0.1,0.0,0.38,0.0,Right
2011,62.03,7.91,12.15,7.43,4.28,4.89,0.83,0.01,0.01,0.0,1.08,0.0,Right
2012,59.77,5.05,1.92,14.94,3.82,9.58,2.17,0.0,0.0,2.19,0.69,0.0,Right
2013,46.53,4.56,8.12,23.76,7.86,5.7,2.29,0.0,0.0,0.0,0.63,0.0,Right
2005,30.29,2.85,12.57,29.71,5.14,1.71,6.86,0.0,0.01,0.0,0.11,11.43,Left
2006,37.5,5.68,23.3,19.32,2.1,4.61,3.38,0.01,0.36,0.0,0.1,4.11,Left
2008,33.71,3.34,25.28,20.79,10.11,1.02,3.35,0.0,0.84,0.0,0.64,0.96,Right
2009,30.28,3.94,24.65,18.31,15.49,2.31,3.48,0.0,0.03,0.0,0.55,0.62,Right
2010,22.67,1.22,24.67,22.0,22.0,1.5,5.2,0.0,0.05,0.0,0.43,0.52,Right
2011,32.73,4.08,12.73,16.36,21.82,7.37,3.62,0.34,0.13,0.0,0.43,0.09,Right
2013,26.23,5.88,16.39,34.43,9.46,3.94,1.24,0.0,1.79,0.0,0.68,0.05,Left
2014,39.06,3.45,5.94,17.19,4.39,10.45,13.92,0.0,3.5,0.15,0.54,0.18,Left
2005,11.89,9.43,57.79,7.79,4.1,4.51,3.23,0.0,0.12,0.0,0.62,0.54,Left
2006,5.78,14.45,56.65,6.94,5.1,3.7,5.03,0.0,0.49,0.0,0.42,1.21,Left
